PD	1/X	X	PD
0.58648000000000000	0.27137741270956806	3.68490505534524404	0.58648000000000000
0.58896000000000004	0.54965652298787759	1.81931798892170060	0.58896000000000004
0.59143999999999997	0.83513128467390552	1.19741652402648402	0.59143999999999997
0.59392000000000000	1.12810906168923641	0.88643911653594443	0.59392000000000000
0.59640000000000004	1.42891104708821226	0.69983362647924585	0.59640000000000004
0.59887999999999997	1.73787263953978188	0.57541615953216052	0.59887999999999997
0.60136000000000001	2.05534376234640170	0.48653661656013669	0.60136000000000001
0.60384000000000004	2.38168910714116766	0.41987008170026785	0.60384000000000004
0.60631999999999997	2.71728828097305941	0.36801395236647494	0.60631999999999997
0.60880000000000001	3.06253583154012921	0.32652679185049943	0.60880000000000001
0.61128000000000005	3.41784112081936575	0.29258235378719655	0.61128000000000005
0.61375999999999997	3.78362801223022727	0.26429659489981377	0.61375999999999997
0.61624000000000001	4.16033433073407632	0.24036529771480014	0.61624000000000001
0.61872000000000005	4.54841104891327142	0.21985699824533775	0.61872000000000005
0.62119999999999997	4.94832114512496979	0.20208874296390175	0.62119999999999997
0.62368000000000001	5.36053807236860447	0.18654843720905437	0.62368000000000001
0.62616000000000005	5.78554376868824694	0.17284460026247964	0.62616000000000005
0.62863999999999998	6.22382613199625201	0.16067286887387011	0.62863999999999998
0.63112000000000001	6.67587587450260855	0.14979307866093389	0.63112000000000001
0.63360000000000005	7.14218266497640730	0.14001322101488192	0.63360000000000005
0.63607999999999998	7.62323046153819828	0.13117798353930682	0.63607999999999998
0.63856000000000002	8.11949193449858697	0.12316041546283699	0.63856000000000002
0.64104000000000005	8.63142187908161951	0.11585576675651957	0.64104000000000005
0.64351999999999998	9.15944952314460004	0.10917686673998750	0.64351999999999998
0.64600000000000002	9.70396964695537534	0.10305061087178384	0.64600000000000002
0.64847999999999995	10.26533245269043348	0.09741525709066644	0.64847999999999995
0.65095999999999998	10.84383215273846623	0.09221832152275275	0.65095999999999998
0.65344000000000002	11.43969429032892116	0.08741492339051374	0.65344000000000002
0.65592000000000006	12.05306186545988467	0.08296647035934258	0.65592000000000006
0.65839999999999999	12.68398041504309859	0.07883960454669325	0.65839999999999999
0.66088000000000002	13.33238228910399847	0.07500535000539689	0.66088000000000002
0.66335999999999995	13.99807047370848245	0.07143841730745851	0.66335999999999995
0.66583999999999999	14.68070243280288345	0.06811663165146499	0.66583999999999999
0.66832000000000003	15.37977456933621845	0.06502045888200293	0.66832000000000003
0.67080000000000006	16.09460803160454390	0.06213260975578450	0.67080000000000006
0.67327999999999999	16.82433670103935697	0.05943770727901701	0.67327999999999999
0.67576000000000003	17.56789827692723449	0.05692200536664924	0.67576000000000003
0.67823999999999995	18.32402940413055958	0.05457314971207056	0.67823999999999995
0.68071999999999999	19.09126575411913151	0.05237997379949729	0.68071999999999999
0.68320000000000003	19.86794785261674434	0.05033232457716025	0.68320000000000003
0.68567999999999996	20.65223324011469686	0.04842091353382596	0.68567999999999996
0.68815999999999999	21.44211525502725024	0.04663718985306467	0.68815999999999999
0.69064000000000003	22.23544835595384228	0.04497323301026383	0.69064000000000003
0.69311999999999996	23.02997947460839256	0.04342166266811248	0.69311999999999996
0.69560000000000000	23.82338444986921289	0.04197556405573977	0.69560000000000000
0.69808000000000003	24.61330817269413984	0.04062842723065541	0.69808000000000003
0.70055999999999996	25.39740667864464996	0.03937409880674343	0.70055999999999996
0.70304000000000000	26.17338887650889845	0.03820674520667511	0.70304000000000000
0.70552000000000004	26.93905307574777908	0.03712082964416676	0.70552000000000004
0.70799999999999996	27.69227656965388462	0.03611115169548152	0.70799999999999996
